Review date,Author name,Star rating,Review content
9/3/2025,Nick Ar,1,"Don't Waste Your Money on This Overpriced GarbageI've been an unfortunate Apple customer for years, and I can honestly say this company has completely lost its way. What used to be a premium brand has turned into an overpriced nightmare with zero accountability.The Worst Customer Service in TechLet me start with their customer service - it's absolutely the worst I've ever encountered. Getting help is like pulling teeth. You'll spend hours on hold, get transferred between departments multiple times, and speak to representatives who clearly don't care about solving your problems. They read from scripts, offer generic solutions that don't work, and act like they're doing YOU a favor by taking your call. When you finally escalate to a supervisor, they're just as useless. It's like they actively train their staff to be unhelpful.iCloud: Where Your Data Goes to DieAnd don't even get me started on iCloud - it's real garbage that loses information all the time. I've lost photos, contacts, documents, and backups more times than I can count. One day your files are there, the next day they've vanished into thin air. Their ""seamless sync"" is a joke. I've had wedding photos disappear, important work documents corrupted, and contact lists randomly deleted. When you contact support about it? They shrug and tell you it's your fault somehow.Overpriced Hardware That BreaksTheir devices are ridiculously overpriced for what you get. A simple cable costs $30 when you can get the same thing elsewhere for $5. Their phones have batteries that die after a year, screens that crack if you look at them wrong, and they slow down your device with updates to force you to buy new ones.The Apple Tax is RealEverything costs 3x more than it should. Want more storage? Pay through the nose. Need a dongle because they removed all the ports? That'll be $50. Repair? Forget about it - they'd rather sell you a new device.Final VerdictSave your money and your sanity. There are better alternatives that actually respect their customers and don't treat you like a walking ATM. Apple has become everything it once stood against - greedy, anti-consumer, and completely out of touch."
8/26/2025,Isabella Nuttall,5,Okay I WISH I remembered his name but the worker there that has a bunch of baseball game scores on his Lock Screen and was there to help me when I yardsaled my phone into Lake Washington made my day SO much better after striking out at TMobile! He was super tall and had a tattoo sleeve.  I think he was a manager and I can see why! Thank you so much for the help! You turned my entire day around!
8/19/2025,jjs,1,"After buying a new laptop, I was waiting for help transferring info from old to new laptop. The first employee was about to take a break, talked to the next employee for about ten minutes concerning a date planned for the weekend. Second employee then talked to more employees and the returning first employee about the same date. I just walked out with my computer, and never got the old data transfered."
8/15/2025,Sergiy Slobodyan,1,Wait time is ridiculously long. Some dudes are staying doing nothing but they can't help because only the only person is certified to bring you a phone. Probably should buy online next time.
8/15/2025,Anna Bondarenko,1,"I came to make an appointment and the closest one was of 3.5 hours waiting time. I’ve got a text message and checked in and they tell me to wait for the available technician. It’s been a half hour wait already and I’m still here waiting for someone. STUFF ARE RUDE. When we asked when is someone going to help us , they told us to just wait again, and when we asked what the point in appointment then they gave us rude answer."
8/15/2025,Rostyslav,1,"We with my wife did appointment,  was waiting 3 hours to our appointment, Come in and, waiting 45 min after time to our appointment it’s crazy every body free, nobody helps it’s so bad service, if you need some help, find a different store 🤝🫡"
8/15/2025,Jacqueline Delsuc,5,"Today was wild. Thank you to Joseph, from yesterday, for all his help and efficiency. Thank you to Tapha, from this afternoon, he was very patient and kind. He was even late to his lunch for us, so sorry! I hope my sister’s funny password made up for your time! And Thank you to Tavis, from this afternoon taking over for Tapha’s lunch. He was able to help us out with a funky backing-up issue we were having and really alleviated a lot of stress and prevented more issues from arising in the future! So excited about our tech upgrades. Thanks, Lynnwood Team!"
8/15/2025,Michael Toohey,5,"I don’t usually frequent this kind of store, mostly because I’m a “take care of it myself” kinda guy and I don’t favor malls or big stores. Came in today because I smashed my phone to pieces skateboarding and desperately needed help. Customer service was next level. They were super patient with me, helped me immensely and turned what I would have normally considered a hassle into a wonderful experience. Visit this store for your Apple needs and if you’re fortunate enough to be assisted by Mercedes I can assure you she will brighten your day. As a customer service specialist with over 20 years in customer service facing roles, I would give Mercedes 10 stars if I could. 10/10. Thank you Mercedes for going the extra mile and taking such good care of me!"
8/15/2025,John Kim,5,"Good customer service, no issues with a recent return."
8/15/2025,Fernando Samuel Méndez Díaz,5,Gran variedad de artículos de tecnología Apple
