Review date,Author name,Star rating,Review content
9/8/2025,hanfi dilawer,5,
9/3/2025,Erik Ortega,5,The employees are knowledgeable and professional like going in here and getting information about products
9/2/2025,Paul Allen,4,
8/26/2025,Anthony Chen,1,
8/26/2025,Abdulla Abdullaev,5,
8/26/2025,MUNAGALA VIGHNA CHARY,5,
8/19/2025,seattlematt1976,5,
8/19/2025,Prashant Chahar,1,Super rude staff. Not helpful at all. Doesn't want to work with the customer.
8/19/2025,Billy Allocca,1,"This store has really gone downhill in terms of service and quality, just had a really bad experience that is not typical of Apple with highly confused employees, my pickup order not being available in the window I selected, confusingly being bumped around to multiple staff trying to figure out a simple exchange, and the store wasn’t even that busy on a Wednesday night. Really disappointing to see Apple’s standard of quality slip so much. Would recommend reconsidering Apple products at this point, and maybe just sticking to online."
8/15/2025,Yuetong Lu,1,"I have visited the Bellevue Square Apple Store many times and previously had good experiences here — for example, they replaced my broken camera under AppleCare+ at no cost. I also had my screen replaced under AppleCare+ at another Apple Store in New York without any issues.Today, I came in just to have my screen cleaned. The Genius Bar manager pointed out a “crack” on my trackpad, which I had never noticed. I asked if AppleCare+ covers accidental damage — the first staff member said yes, and even said this issue counted as accidental damage. But when another staff member took over, they said it did not count, called it “cosmetic damage,” and told me, “I told you, if you want to repair today, $99.”If AppleCare+ only covers functional damage, then what’s the point of paying for it? The warranty would be enough. The contradictory answers and dismissive attitude made this a very disappointing experience at a store I used to trust."
8/15/2025,Ibrahim Sayed,5,
8/15/2025,Matt Beecroft,1,"Went in to get my screen repaired because face ID stopped working spontaneously.  They described it as simple fix. It took significantly longer than what they said, and they wiped the entire phone. I now have to go to the AT&T store and get the new phone activated and spend the rest of my evening restoring my phone. iCloud backup only does so much and most of the TPA apps require reactivation so simple repair here just cost me half a day or more. I do need a phone -as many people do - for work so this was really disruptive.I wish Apple had more accountability, but they are big enough that they really don't have to care and they don't"
8/15/2025,Jason L,5,"Stopped by the Apple Store at Bellevue Square Mall. It’s on the second floor near Nordstrom, with general mall parking and shared restrooms. There is none inside the store. The store layout is intuitive, and everything is well organized. I came to check out the cameras on the latest iPhones. There are lots of working demo units available. The staff were helpful and approachable without being pushy when I was checking the cameras on the phone. It’s the consistent Apple experience, which is clean, efficient, and customer-focused.Efficient: YesFirst-Time Friendliness: YesWould I Return: YesJY review"
8/15/2025,chance gusman,5,
8/15/2025,MARY,3,"My sister and I came to replace her iPhone through the upgrade program. During the migration process, we encountered several issues and ended up being stuck there for hours—we weren’t able to take the phone home or even to cancel, and time was running out. It was so frustrating, especially since no one seemed to have a solution or the willingness to genuinely help. My sister nearly lost important data for her work in the process. Thankfully, Alex stepped in. He was friendly, kind, knowledgeable, and truly went above and beyond to assist us. He even negotiated with his manager on our behalf. He’s the best!"
8/15/2025,Ramesh Babu,4,
8/15/2025,Nayef Yassin,1,Had me wait for an hour at a Genius Bar appointment only to tell us after that the device is too old to be serviced anymore (which is completely understandable had they called it out during the reservation making process or even before the in-store hour long wait)
8/15/2025,K Dubb G,5,
8/15/2025,Joe Chelliah,5,
8/15/2025,Sarah Skilling,5,
8/15/2025,Sean Allen,1,Had to get a new logic board installed and they made it so now I have to contact my carrier to reconnect cell service except everything is deleted so now I can’t actually confirm verification codes making moving forward almost impossible 10/10 would recommend buying a different product.
8/15/2025,Vinay Kumar,5,
8/15/2025,Dawn Anderson,5,"Had lots of fun, plenty things to do lovely atmosphere"
8/15/2025,Kyle Thorpe,5,
8/15/2025,Piyush Patel,4,
