Review date,Author name,Star rating,Review content
9/6/2025,kisung kim,5,
9/2/2025,Debra Doser,5,
8/26/2025,XI TRON,5,ITS HOW YOU WORK @ ISLANDHEALTH 1APPLE.COM CCAN SOME TEXTS MAY BE VIOLENT TO SORT STOCKS INTO HEALTHCARE CCAN1x SYSTEM ORDER TO ISLANDHEALTH QUANTUM DELIVERY NODE EMERGENCY ZONE OF LAND @ 1000$ SEND SQL APL
8/26/2025,Johnathen Johnson,5,"Justin Is a Rockstar!Justin’s energy and dedication were next-level. He handled my repair with speed and precision, and his communication was spot-on the entire time. It’s rare to find someone who’s both technically sharp and genuinely caring. Apple is lucky to have him, and I’m lucky I got him as my rep. Five stars all the way!This Apple Store has the most insightful and detail-oriented workforce I’ve ever come across. While I was being assisted with my repair, multiple members of the Apple team checked in to make sure I was being helped and taken care of. It’s the healthiest atmosphere I’ve ever seen in an Apple Store to date.They even offer cool little tutorials at this location—displayed on a big screen—covering unique app knowledge, how-to tools, and hidden functions. It’s like a tech masterclass while you wait."
8/26/2025,Dean Smith,5,"When in to get a macbook, Noah was super helpful and made the whole experience super nice. Was quick and easy, got all the info i needed and was well guided in making my purchase. Would totally recommend and shoutout to noah for the help, i hope all the tram members are as good as him."
8/19/2025,Nick Ketcham,5,"I had some unexpected issues with my iPhone and Lewda, the store manager, and his associate, JJ, helped me out and were very accommodating. Highly recommend! Great customer service."
8/19/2025,Debra Pavlovec,5,"Huge store, lots of staff. Very friendly and helpful"
8/19/2025,Hércules Giaretta Gimenes,5,
8/19/2025,Toni Owen,5,"Had a battery issue dealt with.  Took an hour and thirty five minutes to get my phone back.  However, there is plenty to do at U Village and plenty of places to get something to eat or drink."
8/19/2025,Jessica Sandrock,5,We watched a great summer concert in front
8/15/2025,Samantha,5,
8/15/2025,Qöí Kamau,5,Awesome place with a variety of stalls and eateries.
8/15/2025,Jorge Vazquez,5,
8/15/2025,Amal W.J.E,5,I enjoy the classes
8/15/2025,Jung Park,5,
8/15/2025,J B,1,"Understaffed repair facilities create long wait times for customers, even with  appointments. Shouldn't take 2+ hours for a simple battery replacement."
8/15/2025,Allen Davis,4,
8/15/2025,June Quick,1,
8/15/2025,Ramachandra Nalam,5,
8/15/2025,Liz See,5,"I’m thrilled. Sarah and Ronel got my Apple Watch working after I spent a lot of time with Verizon not getting it to work. I’m so excited! How refreshing to walk into a store, have immediate customer service, and with smiling faces."
8/15/2025,teya williams,5,"After a disappointing customer experience on a previous visit…Yesterday 7/12/25 Charlie provided me with the 10/10 experience I needed!I walked in with my screen protector replacement. He greeted me, I told him I could use some help, he saw the box and said “okay it looks like you’ve got a screen protector replacement, step right over here and I’ll get you set up!!!”Another gentleman walked in with an issue he told him he’d be happy to help when he was finished, and asked him to sit and wait where he might get help sooner.The replacement took no time, he kept up some banter while working on it, got my approval and sent me on my way.The store wasn’t busy when I walked in, that could have helped with the pace & response, but I get the sense that Charlie just get’s it. He fully understands why he is there. Yes ultimately to make sales, but also provide a customer experience!I appreciate you Charlie! 10/10 ⭐️🤩"
8/15/2025,Rinlita Itthikomolsil,1,"Bad customer service. I had an appointment at 1:40 p.m. I arrived at 1:30 p.m. After talking with the first staff member who helped me check in, I needed to wait for 40 minutes with no one coming to help. I asked them twice at 15 minutes and 30 minutes. They said someone will come to help you soon. I waited and ended up with the conclusion that they could not help me with my iPad problem."
8/15/2025,XI TRON,5,($2000)APPLEJOB&CAREER RESET TO NEXT TELETYPE IMAKQT FILINGS
8/12/2025,Dani,5,
8/12/2025,Jonathan Mathews,5,
8/12/2025,ved vartak,1,I went to the repair store called as genius bar with a cellular issue. Without even debugging the guy said they need to repair my entire back panel worth 500 dollars. A simple backup and restore was the solution to bring up cellular.
8/12/2025,Toni P,4,"Visitamos el Apple Store de University Village y nos decepcionó un poco. Esperábamos algo más llamativo o especial, como en otras tiendas de la marca, pero este nos pareció bastante básico, sin elementos diferenciales ni experiencias destacables. Cumple su función, pero no tiene ese “wow” que hemos visto en otros Apple Store."
7/15/2025,Ryan Kawash (Rkawash93),1,"Went here, placed an order at the store for an emergency phone delivery the next day.  Got the email confirmation that the order was going to be delivered.  Realized they canceled the order, no reason given, no notification, I just found out by clicking on the order confirmation."
7/15/2025,Alan Meredith,4,
7/15/2025,forest beach,3,I took the whole day off I had a lot of things done here but  I'm  very disappointed about my Apple care service regarding verification of my iPhone ownership with ATT is Scam
7/15/2025,Steven Snell,5,
7/15/2025,Ajay Kaushal,4,
7/15/2025,Chris Howard,5,
7/15/2025,Joe,5,
7/15/2025,Amy Fair Gunnar,5,Always the best service!
7/15/2025,Ross Henry,5,Classic ape store. Larger than most. Very friendly. Great green space out front for kids to play.
7/15/2025,Lucas Carvalho,5,
7/15/2025,Jojo M,5,
7/15/2025,Christl Colven,5,"Fun, Glassy Baby, Hey Bagle! And more what else do you want."
7/15/2025,Mannan Khan,5,
7/15/2025,Lucero Flores,1,
7/15/2025,Rose Mantis,5,
7/15/2025,Ell,5,Spencer helped me out with a faster iPhone setup!!
7/15/2025,adam zenaty,5,
7/15/2025,JG O,5,
7/15/2025,Owen Thompson,5,
7/15/2025,E. Vaz,5,
7/15/2025,Panos Giannopoulos,5,"I really like this Apple location. Staff here are always so polite, friendly and knowledgeable. And whatever I was looking to buy has always been in-stock. Plenty of parking outside."
7/15/2025,Desirae Fenton,5,
6/15/2025,Carmen Reyes,5,
6/15/2025,Sean Minnig,5,Fav Apple Store
6/15/2025,Jesús Zamora,5,
6/15/2025,Samuel Stallcup,5,
6/15/2025,Yulia Cool,5,"Blake is an absolute angel, really helped my stressed out friend get everything situated! Nice store with a banging playlist too"
6/15/2025,Hals,4,
6/15/2025,Jamini Young,5,"If you were able to get Andrew to help you at this store, you are in luck! Very attentive, informative, polite. I had to take three trips to get a new phone just for various reasons and Andrew was the best. He helped me set up my new phonewhen another person said yeah sit over here and wait so that was really great."
6/15/2025,Austin Tyler,5,
6/15/2025,Eric Ringger,5,Helpful staff. Honest answers to questions about trade-offs and options.
5/15/2025,Jenn C,4,Loved the variety of stores here and the food selection in this area was delicious.
5/15/2025,Max Kang,5,
5/15/2025,Alfred Harris,1,"My last experience on Friday May 2nd at the Apple Genius Bar was horrible. I had an appointment for the Genius Bar. The employees I interacted with were good and not good. The technology employee I worked with was fine, but his superior was hostile and was preparing to throw me out.The problem was about how loud the superior was with a client right next to us. I couldn’t hear what my tech was telling me.It all accelerated on the part of the Apple employees till I left,being told they would never let me in again."
5/15/2025,gayla graves,5,
5/15/2025,Oscar martinez,5,
5/15/2025,Jesus Crespo,5,
5/15/2025,David,4,"Really nice looking Apple Store. Better here than at the New York flagship when a product releases, lest you expressly wish to pee your pants multiple times due to the long wait. They also have an acceptable washroom in the basement that is 4/5."
5/15/2025,Icy Energy,5,
5/15/2025,Mark Raymond Jr.,1,I have consistently had poor experiences at this Apple Store.
5/15/2025,Greg Alioto,5,
5/15/2025,MJ Jackson,5,"I recently came in to trade in my older devices for a new laptop. Mike quickly greeted me, introduced himself and helped me find a new laptop. He made the process really easy."
4/15/2025,Tony Garakani,5,Very helpful and courteous
4/15/2025,Yuntian Ye,1,Took an hour still can’t get trade in done and waited for too long and had to leave.
4/15/2025,Greg Van Dyke,4,"Great atmosphere, great service but it can get very crowded and busy at times."
4/15/2025,Kris B,5,"Many, many thanks to Charlie for his kind and patient iPhone and iPad help yesterday. He is a credit to your store. I will definitely return for more products and services in the future."
